date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:08	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2014:44:08%20GMT	http://www.dantata-sawoe.com/robots.txt		(from )
15:44:10	27502/27502	---MC-	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202023%2014:44:09%20GMT	http://www.dantata-sawoe.com/	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/index.html	(from )
15:44:10	539/539	---M--	200	added ('OK')	image/png	etag:%2221b-5ffbb1651e06d%22	http://www.dantata-sawoe.com/images/favicon.png	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/images/favicon.png	(from http://www.dantata-sawoe.com/)
15:44:17	160346/160346	---M--	200	added ('OK')	text/css	etag:%222725a-5ffbb403a505e%22	http://www.dantata-sawoe.com/plugins/bootstrap/bootstrap.min.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/bootstrap/bootstrap.min.css	(from http://www.dantata-sawoe.com/)
15:44:18	58935/58935	---M--	200	added ('OK')	text/css	etag:%22e637-5ffbb419ece24%22	http://www.dantata-sawoe.com/plugins/fontawesome/css/all.min.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/fontawesome/css/all.min.css	(from http://www.dantata-sawoe.com/)
15:44:20	57094/57094	---M--	200	added ('OK')	text/css	etag:%22df06-5ffbb4031c4de%22	http://www.dantata-sawoe.com/plugins/animate-css/animate.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/animate-css/animate.css	(from http://www.dantata-sawoe.com/)
15:44:20	1776/1776	---M--	200	added ('OK')	text/css	etag:%226f0-5ffbb414ae1d8%22	http://www.dantata-sawoe.com/plugins/slick/slick.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/slick/slick.css	(from http://www.dantata-sawoe.com/)
15:44:20	3169/3169	---M--	200	added ('OK')	text/css	etag:%22c61-5ffbb413cd825%22	http://www.dantata-sawoe.com/plugins/slick/slick-theme.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/slick/slick-theme.css	(from http://www.dantata-sawoe.com/)
15:44:21	2951/2951	---M--	200	added ('OK')	text/css	etag:%22b87-5ffbb40798baf%22	http://www.dantata-sawoe.com/plugins/colorbox/colorbox.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/plugins/colorbox/colorbox.css	(from http://www.dantata-sawoe.com/)
15:44:22	55736/55736	---M--	200	added ('OK')	text/css	etag:%22d9b8-5ffbb160838e6%22	http://www.dantata-sawoe.com/css/style.css	/home/megadriod/websites/Presentation/www.dantata-sawoe.com/css/style.css	(from http://www.dantata-sawoe.com/)
